time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2024-01-01,18.3,5.6,11.3,0.0,10.6
2024-01-02,16.1,6.4,10.4,0.0,10.4
2024-01-03,16.0,5.6,9.3,0.0,6.0
2024-01-04,16.1,5.7,10.2,0.0,7.1
2024-01-05,16.1,6.4,10.3,0.0,7.3
2024-01-06,16.6,4.9,9.5,0.0,7.2
2024-01-07,16.2,3.8,9.8,0.0,7.4
2024-01-08,16.3,5.7,9.9,0.0,6.9
2024-01-09,16.5,5.6,9.5,0.0,8.2
2024-01-10,17.3,4.5,9.6,0.0,13.0
2024-01-11,17.2,4.8,10.1,0.0,9.8
2024-01-12,17.2,4.9,10.6,0.0,9.2
2024-01-13,16.7,5.4,11.1,0.0,6.5
2024-01-14,18.1,4.7,9.8,0.0,9.3
2024-01-15,18.9,4.6,10.4,0.0,10.5
2024-01-16,16.3,4.5,9.8,0.0,10.0
2024-01-17,18.1,5.9,11.1,0.0,7.3
2024-01-18,18.4,7.4,11.3,0.0,9.5
2024-01-19,18.3,5.2,11.5,0.0,9.4
2024-01-20,15.5,6.1,9.7,0.0,9.7
2024-01-21,15.5,6.2,9.5,0.0,13.6
2024-01-22,14.1,4.9,8.4,0.0,8.9
2024-01-23,15.0,3.3,8.4,0.0,10.7
2024-01-24,16.6,2.5,9.2,0.0,9.5
2024-01-25,14.6,4.6,9.5,0.0,8.3
2024-01-26,17.1,6.7,11.5,1.3,10.9
2024-01-27,19.3,6.1,12.5,0.0,17.9
2024-01-28,17.4,9.8,13.2,1.3,12.7
2024-01-29,18.2,9.0,12.8,1.9,12.5
2024-01-30,15.7,7.5,11.5,3.0,8.2
2024-01-31,11.7,8.8,10.3,37.8,14.7
2024-02-01,13.8,4.7,8.8,4.4,10.5
2024-02-02,15.3,3.4,9.3,0.0,12.5
2024-02-03,11.3,8.6,9.8,2.0,13.9
2024-02-04,12.4,6.2,9.4,0.9,16.4
2024-02-05,15.0,4.1,9.0,0.0,10.7
2024-02-06,15.2,5.0,9.5,0.0,8.7
2024-02-07,16.3,4.1,10.1,0.0,18.1
2024-02-08,18.1,8.5,12.3,0.0,23.9
2024-02-09,19.7,5.3,11.9,0.0,10.4
2024-02-10,20.1,7.0,12.4,0.0,12.4
2024-02-11,20.5,7.2,13.1,0.0,8.1
2024-02-12,20.7,8.7,14.4,0.0,7.9
2024-02-13,21.6,8.2,14.1,0.0,13.8
2024-02-14,21.5,7.7,14.3,0.0,16.5
2024-02-15,22.9,8.8,15.3,0.0,8.7
2024-02-16,23.7,10.2,16.4,0.0,13.0
2024-02-17,23.6,11.6,17.0,0.0,9.4
2024-02-18,16.9,12.5,14.0,14.4,22.0
2024-02-19,15.4,9.2,12.4,37.0,35.2
2024-02-20,15.2,6.2,10.5,5.2,14.7
2024-02-21,16.7,5.5,11.1,1.8,11.7
2024-02-22,17.3,7.1,11.8,0.2,11.2
2024-02-23,17.5,5.5,10.9,0.0,11.8
2024-02-24,17.4,6.3,11.6,0.0,9.3
2024-02-25,17.9,7.4,12.6,0.0,13.0
2024-02-26,17.4,7.5,11.6,0.0,18.7
2024-02-27,18.9,7.7,12.9,0.0,14.8
2024-02-28,20.2,9.0,14.0,0.0,16.2
2024-02-29,19.3,8.9,14.3,0.0,15.3
2024-03-01,15.7,11.5,12.9,21.5,18.3
2024-03-02,15.3,9.4,12.3,49.9,32.9
2024-03-03,13.4,4.9,9.3,26.2,18.4
2024-03-04,15.2,4.4,9.5,0.1,15.1
2024-03-05,17.8,5.8,11.4,0.0,15.9
2024-03-06,19.1,6.9,12.7,0.0,9.2
2024-03-07,19.1,9.5,14.0,0.0,9.6
2024-03-08,19.9,7.7,13.9,0.0,15.4
2024-03-09,21.8,10.3,15.9,0.0,21.4
2024-03-10,21.8,10.0,16.0,0.0,9.9
2024-03-11,22.1,13.0,17.3,0.0,12.4
2024-03-12,23.5,10.2,17.3,0.0,12.4
