temperature_2m,relative_humidity_2m,surface_pressure,precipitation,wind_speed_10m,datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI,hour_sin,hour_cos,month_sin,month_cos
10.3,75,956.8,0.0,4.3,2024-01-01 00:00:00,73.3,107.8,2726.0,78.4,15.3,6.0,151,0.0,1.0,0.49999999999999994,0.8660254037844387
8.7,79,956.3,0.0,5.9,2024-01-01 01:00:00,59.5,88.0,2447.0,68.7,11.0,6.0,151,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
8.7,78,956.1,0.0,6.4,2024-01-01 02:00:00,47.6,71.0,2181.0,60.3,7.7,6.0,151,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
10.6,69,956.8,0.0,4.0,2024-01-01 03:00:00,37.8,57.0,1914.0,52.5,5.7,6.0,151,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387
10.3,68,956.6,0.0,2.3,2024-01-01 04:00:00,30.2,46.1,1659.0,46.0,4.7,5.0,151,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
8.7,72,956.1,0.0,2.4,2024-01-01 05:00:00,17.3,26.5,1578.0,32.5,3.4,5.0,151,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
5.6,90,955.7,0.0,3.6,2024-01-01 06:00:00,19.2,31.5,1463.0,36.0,4.4,6.0,150,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
5.9,87,956.4,0.0,5.1,2024-01-01 07:00:00,21.7,35.0,1299.0,40.6,5.9,7.0,150,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
7.7,83,957.3,0.0,5.1,2024-01-01 08:00:00,25.2,39.2,1145.0,42.5,7.4,14.0,150,0.8660254037844388,-0.4999999999999998,0.49999999999999994,0.8660254037844387
11.3,72,958.3,0.0,4.9,2024-01-01 09:00:00,28.6,44.5,1015.0,39.4,8.6,29.0,149,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
13.7,65,959.1,0.0,2.3,2024-01-01 10:00:00,30.9,47.7,894.0,33.7,9.8,48.0,148,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
15.7,59,958.8,0.0,3.3,2024-01-01 11:00:00,27.8,46.7,794.0,28.7,11.2,68.0,148,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
17.3,52,957.9,0.0,5.4,2024-01-01 12:00:00,25.7,44.6,683.0,23.0,13.3,91.0,147,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
18.2,48,957.1,0.0,7.6,2024-01-01 13:00:00,26.2,44.5,592.0,17.9,15.6,113.0,145,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
18.3,48,956.3,0.0,9.3,2024-01-01 14:00:00,30.0,48.8,625.0,21.2,17.1,121.0,144,-0.4999999999999998,-0.8660254037844388,0.49999999999999994,0.8660254037844387
17.7,50,955.8,0.0,10.6,2024-01-01 15:00:00,35.0,54.8,835.0,39.5,16.9,104.0,142,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
16.3,59,955.5,0.0,8.4,2024-01-01 16:00:00,41.3,61.9,1169.0,66.1,15.8,73.0,141,-0.8660254037844384,-0.5000000000000004,0.49999999999999994,0.8660254037844387
12.7,75,954.8,0.0,7.0,2024-01-01 17:00:00,56.0,84.3,1717.0,99.1,16.3,29.0,139,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
10.3,87,954.9,0.0,7.4,2024-01-01 18:00:00,73.6,109.0,2197.0,104.6,18.8,20.0,137,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
9.2,88,955.3,0.0,4.8,2024-01-01 19:00:00,83.1,122.5,2851.0,111.8,22.1,8.0,136,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
8.5,83,955.6,0.0,5.4,2024-01-01 20:00:00,87.1,128.1,3292.0,113.7,23.9,0.0,134,-0.8660254037844386,0.5,0.49999999999999994,0.8660254037844387
8.2,76,955.7,0.0,7.2,2024-01-01 21:00:00,86.8,127.1,3336.0,106.2,23.0,0.0,132,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
9.1,72,956.3,0.0,6.6,2024-01-01 22:00:00,83.4,122.0,3165.0,93.6,20.6,0.0,131,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
7.6,81,955.8,0.0,8.1,2024-01-01 23:00:00,76.4,111.3,2941.0,81.4,17.7,2.0,129,-0.2588190451025215,0.9659258262890681,0.49999999999999994,0.8660254037844387
7.2,85,955.5,0.0,8.1,2024-01-02 00:00:00,64.3,93.6,2701.0,71.2,14.0,2.0,128,0.0,1.0,0.49999999999999994,0.8660254037844387
8.6,79,955.5,0.0,5.8,2024-01-02 01:00:00,51.3,75.0,2406.0,61.6,9.8,2.0,127,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
9.5,74,955.4,0.0,2.5,2024-01-02 02:00:00,39.8,58.7,2104.0,53.7,6.6,3.0,127,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
9.0,74,955.2,0.0,1.1,2024-01-02 03:00:00,31.0,46.0,1765.0,47.9,5.0,4.0,126,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387
8.6,75,955.0,0.0,0.8,2024-01-02 04:00:00,25.0,37.7,1417.0,43.9,4.5,6.0,125,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
8.2,76,954.9,0.0,1.9,2024-01-02 05:00:00,15.8,24.1,1402.0,34.1,3.4,6.0,124,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
6.4,96,955.4,0.0,2.7,2024-01-02 06:00:00,16.0,25.3,1320.0,38.0,4.3,6.0,124,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
6.8,94,955.9,0.0,3.6,2024-01-02 07:00:00,19.7,30.7,1201.0,43.1,5.6,8.0,124,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
7.5,94,956.6,0.0,4.4,2024-01-02 08:00:00,24.4,37.0,1077.0,45.1,7.4,14.0,124,0.8660254037844388,-0.4999999999999998,0.49999999999999994,0.8660254037844387
8.6,92,957.3,0.0,4.0,2024-01-02 09:00:00,28.9,43.1,943.0,40.8,9.5,29.0,124,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
